selected_value,w_efficiency,w_fairness,w_exploration,reversibility_loss_total,energy
efficiency,0.6999999999999997,0.8949999999999999,1.0350000000000017,0.1,89.0
efficiency,0.6849999999999997,0.8949999999999999,1.0350000000000017,0.1,88.0
fairness,0.6849999999999997,0.9099999999999999,1.0350000000000017,0.1,87.0
exploration,0.6849999999999997,0.9099999999999999,1.0300000000000018,0.1,86.0
exploration,0.6849999999999997,0.9099999999999999,1.015000000000002,0.1,85.0
exploration,0.6849999999999997,0.9099999999999999,1.010000000000002,0.1,84.0
fairness,0.6849999999999997,0.99,1.010000000000002,0.1,100.0
efficiency,0.6899999999999997,0.99,1.010000000000002,0.1,99.0
fairness,0.6899999999999997,0.985,1.010000000000002,0.1,98.0
exploration,0.6899999999999997,0.985,1.0050000000000021,0.1,97.0
exploration,0.6899999999999997,0.985,0.9900000000000021,0.1,99.0
fairness,0.6899999999999997,0.98,0.9900000000000021,0.1,98.0
fairness,0.6899999999999997,0.975,0.9900000000000021,0.1,97.0
exploration,0.6899999999999997,0.975,0.9750000000000021,0.1,96.0
efficiency,0.6849999999999997,0.975,0.9750000000000021,0.1,95.0
exploration,0.6849999999999997,0.975,0.9700000000000021,0.1,94.0
fairness,0.6849999999999997,0.98,0.9700000000000021,0.1,93.0
exploration,0.6849999999999997,0.98,0.9650000000000021,0.1,92.0
exploration,0.6849999999999997,0.98,0.9600000000000021,0.1,91.0
exploration,0.6849999999999997,0.98,1.0050000000000021,0.1,100.0
fairness,0.6849999999999997,0.965,1.0050000000000021,0.1,99.0
efficiency,0.6699999999999997,0.965,1.0050000000000021,0.1,98.0
exploration,0.6699999999999997,0.965,1.010000000000002,0.1,97.0
fairness,0.6699999999999997,0.97,1.010000000000002,0.1,96.0
exploration,0.6699999999999997,0.97,0.995000000000002,0.1,95.0
efficiency,0.6449999999999997,0.97,0.995000000000002,0.1,94.0
exploration,0.6449999999999997,0.97,1.010000000000002,0.1,93.0
fairness,0.6449999999999997,0.975,1.010000000000002,0.1,92.0
exploration,0.6449999999999997,0.975,1.0050000000000021,0.1,91.0
efficiency,0.6099999999999997,0.975,1.0050000000000021,0.1,90.0
exploration,0.6099999999999997,0.975,0.9900000000000021,0.1,99.0
fairness,0.6099999999999997,0.97,0.9900000000000021,0.1,98.0
fairness,0.6099999999999997,0.965,0.9900000000000021,0.1,97.0
exploration,0.6099999999999997,0.965,0.9850000000000021,0.1,96.0
fairness,0.6099999999999997,0.96,0.9850000000000021,0.1,95.0
fairness,0.6099999999999997,0.975,0.9850000000000021,0.1,100.0
exploration,0.6099999999999997,0.975,0.9800000000000021,0.1,99.0
fairness,0.6099999999999997,0.97,0.9800000000000021,0.1,98.0
fairness,0.6099999999999997,0.965,0.9800000000000021,0.1,97.0
fairness,0.6099999999999997,0.96,0.9800000000000021,0.1,96.0
exploration,0.6099999999999997,0.96,0.9650000000000021,0.1,95.0
fairness,0.6099999999999997,0.955,0.9650000000000021,0.1,94.0
efficiency,0.6149999999999997,0.955,0.9650000000000021,0.1,93.0
fairness,0.6149999999999997,0.95,0.9650000000000021,0.1,92.0
exploration,0.6149999999999997,0.95,0.9500000000000021,0.1,91.0
efficiency,0.6199999999999997,0.95,0.9500000000000021,0.1,90.0
fairness,0.6199999999999997,0.955,0.9500000000000021,0.1,89.0
fairness,0.6199999999999997,0.94,0.9500000000000021,0.1,88.0
exploration,0.6199999999999997,0.94,0.9450000000000021,0.1,87.0
exploration,0.6199999999999997,0.94,0.930000000000002,0.1,86.0
fairness,0.6199999999999997,0.9249999999999999,0.930000000000002,0.1,99.0
fairness,0.6199999999999997,0.9199999999999999,0.930000000000002,0.1,98.0
fairness,0.6199999999999997,0.9149999999999999,0.930000000000002,0.1,97.0
efficiency,0.6049999999999996,0.9149999999999999,0.930000000000002,0.1,96.0
fairness,0.6049999999999996,0.9199999999999999,0.930000000000002,0.1,95.0
efficiency,0.5899999999999996,0.9199999999999999,0.930000000000002,0.1,94.0
efficiency,0.5849999999999996,0.9199999999999999,0.930000000000002,0.1,93.0
